PatternId, x1, x2, x3,x4 
1, 77.60, 136, 9.65,12.60 
2, 83.45, 177, 9.76, 13.10 
3, 76.20, 164, 10.52, 13.90 
4, 80.30, 185, 9.76, 12.50 
5, 82.30, 187, 9.77, 13.40 
6, 86.00, 171, 9.25, 13.00
7, 90.50, 211, 9.75, 12.90 
8, 81.50, 158, 10.38, 13.60 
9, 79.75, 176, 9.31, 12.00 
10, 86.85, 175, 10.23, 14.20 
11, 72.90, 139, 10.29, 12.90 
12, 73.50, 124, 9.68, 12.00 
13, 86.85, 149, 10.33, 13.50 
14, 89.15, 224, 9.70, 13.00 
15, 78.05, 149, 9.63, 12.60
16, 65.55, 166, 9.29, 11.30
17, 67.10, 132, 9.52, 11.70
18, 66.25, 173, 9.88, 12.10
19, 80.45, 155, 11.19, 13.80
20, 78.30, 202, 10.78, 13.30
21, 77.80, 155, 10.86, 14.00
22, 79.20, 161, 10.68, 14.30
23, 82.65, 158, 10.64, 12.20
24, 79.85, 156, 10.83, 13.70
25, 67.30, 157, 9.78, 11.80
26, 70.65, 173, 9.97, 12.20
27, 67.15, 159, 9.99, 12.30
28, 80.85, 160, 10.47, 12.70
29, 81.80, 162, 10.87, 13.90
30, 81.15, 178, 11.07, 13.80
